DATE,DEVICE,LISTENING_TIME,ID_C,ID_T
1972-03-25 22:04:27,mobile,21:53:45,1887,4041
2010-05-04 11:05:13,mobile,02:18:56,149,8219
1976-09-12 02:13:26,desktop,07:40:22,312,8956
2018-11-29 16:02:44,web application,13:15:54,2148,3511
1992-10-09 07:31:44,web application,02:22:28,3228,2493
2018-11-06 13:00:50,mobile,04:59:22,2128,1572
2015-06-27 01:29:02,desktop,17:29:32,3362,2848
1998-01-06 06:00:23,desktop,20:03:02,3161,4906
2020-07-19 10:50:27,desktop,05:03:03,278,8444
2021-11-11 10:09:27,mobile,16:09:27,1780,3837
2001-10-23 10:43:17,mobile,04:53:49,532,2530
2008-04-05 02:12:53,mobile,09:22:09,2565,8535
1972-11-22 04:10:36,desktop,15:11:47,579,5514
1976-09-03 21:28:17,desktop,16:18:58,662,5042
1978-02-18 23:54:01,web application,19:17:02,1652,2227
2014-03-25 17:20:01,desktop,00:43:43,2819,2784
1997-01-13 04:48:12,web application,18:28:48,876,1460
2007-09-11 19:46:58,desktop,17:03:04,3326,1117
1990-12-02 05:58:27,web application,16:19:18,1296,6782
1979-08-03 19:58:33,mobile,01:13:41,1483,5267
2005-04-23 05:12:51,mobile,20:18:53,2916,1548
1986-07-04 15:28:40,web application,05:18:26,2038,7311
1978-04-15 15:37:41,mobile,07:57:29,1524,7274
1975-04-14 10:14:36,web application,12:08:35,471,2875
1988-06-23 16:03:05,desktop,01:15:02,2780,5564
1992-08-29 22:06:24,web application,10:17:12,2382,5784
2014-11-30 23:10:43,web application,03:17:20,806,3519
1978-12-29 07:33:56,web application,16:43:58,1579,7501
2008-06-19 16:53:18,web application,16:40:44,1152,435
1991-08-05 22:10:26,mobile,20:05:49,3394,804
2001-05-24 19:49:30,web application,18:43:08,3088,5859
2001-09-29 13:23:00,web application,23:51:55,3259,8064
1988-02-18 06:05:11,mobile,08:51:54,3175,3267
1978-03-31 03:55:23,desktop,04:58:09,3109,7815
2000-03-14 05:00:53,web application,06:23:38,2342,2372
1976-10-12 21:00:23,web application,02:35:25,947,6520
1993-05-20 16:03:07,mobile,13:14:01,115,5583
2010-10-31 20:54:00,mobile,18:38:16,726,2286
2001-07-25 11:20:55,desktop,21:45:35,1523,3149
1974-08-03 14:17:13,desktop,11:13:31,3348,4371
1988-06-25 07:59:21,mobile,02:14:53,1385,4376
2005-07-09 09:01:39,mobile,21:37:02,1598,6822
2007-11-18 17:47:11,desktop,23:37:30,2488,1377
1981-03-20 19:37:20,mobile,10:40:07,1145,3255
1987-01-11 07:52:39,mobile,15:11:15,15,3239
1980-03-03 19:11:18,web application,06:24:19,2903,3050
1998-05-16 09:38:44,desktop,12:57:59,507,7537
2017-03-02 12:47:39,desktop,18:43:10,3240,1105
1971-06-14 09:50:55,desktop,23:04:00,786,5086
2008-01-06 21:14:27,mobile,06:41:10,837,7942
1977-04-13 07:52:40,mobile,13:15:00,94,3418
1990-08-02 15:14:00,web application,07:20:04,926,7323
1976-01-02 14:51:12,mobile,11:52:50,3139,7782
1991-01-17 01:20:58,mobile,05:48:32,2964,5572
1995-11-27 10:56:50,mobile,17:31:00,1275,7764
2013-08-05 09:08:23,web application,11:54:47,1518,2953
1993-07-27 09:32:19,web application,16:47:29,3279,4449
1998-12-02 13:32:27,mobile,06:16:59,136,3094
1970-11-29 23:14:00,web application,17:16:50,890,2027
1993-11-01 22:35:19,mobile,18:16:49,3085,1701
1989-01-01 17:06:23,web application,18:16:15,1548,8058
2010-07-27 20:04:45,desktop,06:20:48,238,8297
1978-01-24 11:33:46,desktop,16:36:53,2192,2924
2017-09-28 04:16:12,desktop,02:34:32,1348,236
1975-03-30 09:50:38,mobile,12:40:16,2442,1681
1979-12-29 13:03:08,mobile,10:03:54,47,894
2009-12-01 13:29:00,mobile,03:51:11,180,1001
1977-08-12 04:13:31,desktop,07:09:56,3436,3781
1971-02-01 09:53:50,mobile,14:00:05,3459,7434
1997-06-29 00:34:37,mobile,20:59:34,1412,2068
1982-02-03 20:21:45,mobile,19:55:00,1381,3907
2023-02-20 17:01:23,mobile,07:31:45,2245,1805
2015-05-29 02:32:58,web application,12:07:33,1127,7990
1999-04-29 21:45:57,web application,15:04:15,727,1526
1991-10-23 16:39:54,mobile,19:03:30,1281,4487
1992-04-21 18:55:41,web application,10:28:06,1014,4132
1988-04-23 01:33:35,desktop,09:58:40,2447,2363
2010-07-25 18:31:49,desktop,10:03:33,3275,193
2002-09-27 13:54:43,web application,15:23:53,1386,6246
1983-11-02 19:40:55,desktop,13:09:59,3068,6515
1983-07-12 02:56:05,mobile,15:29:34,2457,6741
2004-02-10 11:40:41,mobile,13:02:46,763,1247
2009-05-10 19:02:21,mobile,02:08:44,1329,1218
1985-08-12 02:32:20,mobile,05:31:52,2533,6558
1980-02-01 02:31:28,desktop,04:16:24,2068,3927
2005-08-09 20:53:46,mobile,00:21:59,2962,6563
2016-09-01 17:26:41,web application,13:33:05,1371,1791
2000-05-03 22:31:02,web application,02:02:49,3200,5499
1992-12-17 12:25:48,mobile,19:00:57,794,4853
1971-07-29 12:44:56,desktop,03:58:37,561,7516
1992-07-27 02:02:47,web application,09:53:57,1138,7140
2003-10-31 07:34:46,web application,05:55:13,879,8500
2019-04-21 09:52:51,web application,10:31:57,2451,8998
1970-11-03 22:02:34,web application,00:24:57,260,5209
2010-12-12 22:59:21,desktop,23:12:36,1953,7866
2002-09-13 07:19:06,mobile,15:49:37,3212,8380
1983-02-01 12:53:47,desktop,22:50:54,293,6790
2008-04-19 05:29:38,web application,20:50:02,3097,901
1992-06-24 13:53:24,mobile,23:28:44,2846,8647
2005-01-22 02:15:36,web application,16:33:32,3201,620
1996-12-12 13:31:11,mobile,01:48:21,1973,7826
1970-11-04 02:12:44,web application,09:04:41,3255,5671
1991-12-14 04:53:17,web application,09:49:58,2729,3362
1983-05-12 21:00:39,mobile,00:13:00,1905,5255
2014-06-11 19:23:18,desktop,13:37:29,1269,7505
1997-06-27 23:49:52,mobile,10:07:54,198,5681
1986-04-03 22:43:06,desktop,17:41:16,250,8890
1993-01-03 20:40:49,mobile,14:20:28,3275,5976
1992-02-28 19:33:26,mobile,18:24:52,891,2208
2023-06-27 21:50:29,web application,10:20:00,2530,622
1988-12-30 11:43:49,desktop,03:22:18,1938,6267
1986-01-06 22:29:32,web application,16:46:08,2774,3084
1994-11-01 02:36:25,desktop,16:01:31,1010,5406
1971-03-12 21:43:03,desktop,04:58:54,1350,4872
2011-09-14 12:20:22,desktop,20:52:33,1326,1205
1993-08-01 01:11:44,mobile,03:30:24,2599,1672
2005-07-10 17:36:59,desktop,07:09:38,2188,697
2012-08-02 17:39:06,desktop,22:23:39,2511,3670
2022-06-30 15:20:21,desktop,12:40:27,1226,6410
2023-06-14 22:35:41,desktop,07:16:50,2347,5277
1974-04-22 22:55:21,mobile,14:10:07,3152,103
1990-08-12 13:25:59,mobile,08:21:04,2508,5369
2021-11-30 16:27:34,desktop,22:14:07,2961,3864
2006-02-20 19:10:46,desktop,11:49:33,1077,2500
1980-05-16 16:22:53,mobile,22:26:52,2376,767
1977-01-30 11:57:58,desktop,23:17:27,540,1110
1999-09-09 12:27:01,desktop,19:49:56,1716,7550
1972-10-27 20:29:24,web application,09:29:49,1163,6085
1988-12-19 02:18:37,mobile,19:30:45,901,618
1977-02-16 18:38:47,mobile,01:17:04,2844,915
1981-09-19 07:04:27,web application,11:29:49,2293,7792
1988-01-11 18:46:29,web application,07:45:06,1608,2629
2002-03-22 14:43:04,web application,06:38:19,2539,7005
1984-10-04 11:19:51,web application,11:17:17,946,7735
2003-06-09 17:42:06,web application,01:27:16,2271,7604
2001-04-15 23:24:48,desktop,06:36:20,3185,8307
2014-03-28 06:44:57,web application,08:34:37,1950,1185
1998-04-23 05:56:26,desktop,09:03:10,2639,4790
2022-01-06 02:34:02,mobile,17:40:50,1722,3154
1988-12-01 19:35:38,web application,05:16:26,849,4745
2019-12-20 22:46:08,web application,21:48:06,2496,1988
2014-02-19 04:04:02,web application,05:57:56,1474,2774
1984-06-24 04:45:21,mobile,04:21:16,1588,7441
2003-08-30 14:55:24,mobile,02:43:30,1834,8292
1989-04-21 18:42:55,desktop,06:52:03,519,7012
1998-04-26 12:18:48,desktop,08:23:31,2385,2184
2012-04-30 10:45:40,mobile,12:24:36,982,6406
1998-09-21 04:08:53,web application,11:22:13,2612,3564
1971-04-24 15:01:41,web application,23:28:07,1150,7319
1993-06-18 05:39:05,web application,13:48:16,2430,5588
2002-08-25 22:05:11,desktop,07:03:59,528,2260
1988-05-06 01:16:47,mobile,23:09:31,1269,1753
2006-04-21 20:52:34,web application,09:59:05,2134,6874
1989-03-17 08:14:49,desktop,03:59:23,1594,585
2005-05-28 03:19:04,web application,20:46:57,2036,4312
1980-09-24 17:03:12,mobile,19:00:50,1588,1518
1997-07-22 20:16:30,mobile,22:57:46,415,13
2017-12-18 19:05:22,desktop,04:21:15,2399,532
2007-09-20 06:22:14,mobile,21:05:31,2245,3133
1985-09-02 05:35:40,mobile,05:01:56,2697,372
2010-04-19 08:49:21,desktop,17:53:57,1969,4249
1972-04-08 04:00:57,web application,04:30:11,1874,3755
2005-07-02 17:47:45,mobile,09:28:15,2816,1793
1982-03-29 09:39:18,mobile,18:13:59,980,2266
1984-11-03 06:51:04,desktop,22:56:08,871,3011
2022-06-19 21:31:47,desktop,09:31:23,3435,3188
1977-01-21 19:46:28,desktop,08:07:30,960,2777
2009-10-02 19:43:50,desktop,07:16:14,3232,2533
2002-09-20 06:42:09,mobile,02:12:25,824,5616
2003-06-09 21:28:34,web application,08:46:02,345,8582
2015-07-11 19:16:08,web application,02:09:35,2055,1639
2007-03-01 08:16:41,web application,03:25:41,813,7200
1995-08-30 16:10:54,mobile,17:43:38,1461,7701
1979-08-10 22:38:36,desktop,19:03:20,2538,2990
1998-11-04 15:57:34,mobile,23:02:28,3214,3281
1995-09-06 18:38:47,mobile,15:05:04,2498,203
1986-11-22 00:40:09,web application,16:48:51,2400,5009
1979-11-06 08:58:38,desktop,09:09:54,2628,3732
2012-12-19 07:57:32,web application,21:28:37,1935,3158
2007-01-11 11:05:53,web application,02:40:51,1541,1771
2016-12-31 12:15:01,web application,19:33:21,3252,3550
1974-09-02 12:31:29,web application,21:49:01,316,2690
1972-07-29 02:49:34,desktop,19:33:23,2333,2346
2018-02-08 10:34:36,mobile,10:39:53,546,1417
1992-04-24 08:50:05,mobile,02:26:45,1137,1826
1995-02-27 15:30:29,desktop,22:16:31,1428,7417
2006-05-24 06:04:36,web application,04:24:25,418,5117
1986-06-13 23:59:10,mobile,02:16:38,1084,208
1976-10-10 21:25:50,desktop,12:05:52,2849,7333
1988-05-31 06:19:38,web application,18:58:02,3115,8956
1975-06-15 00:43:50,desktop,21:39:08,2695,2505
1970-01-30 20:01:32,mobile,22:09:42,2183,6281
1994-01-02 06:39:00,desktop,05:53:38,844,3421
1985-06-01 01:16:00,mobile,12:13:10,3327,24
1996-05-01 20:50:56,desktop,03:49:54,587,5251
1977-02-19 15:02:11,mobile,00:38:53,3244,4748
2003-01-26 00:38:34,web application,00:19:17,1222,8175
2018-01-07 05:03:51,desktop,18:31:20,362,8350
1998-11-19 16:08:43,mobile,00:48:41,3056,8983
1974-09-01 04:47:31,web application,09:15:34,2205,721
1977-06-05 17:02:02,web application,06:24:51,1213,6184
2013-07-14 03:25:45,web application,05:29:59,682,6520
2011-11-11 20:40:51,mobile,03:03:26,688,5002
1988-04-03 04:07:31,mobile,17:00:22,1709,148
1997-10-18 01:34:19,desktop,02:54:39,3098,8210
1982-11-21 19:00:25,web application,13:26:50,1607,4801
1990-04-23 01:50:03,web application,23:10:33,1729,1919
1975-05-05 21:27:42,mobile,15:44:41,732,6760
1983-04-07 21:58:52,desktop,21:22:08,2106,3210
2012-05-03 17:12:58,web application,16:46:39,10,7750
2007-12-07 08:00:37,desktop,14:21:57,419,2768
2016-09-15 01:54:52,mobile,01:21:59,3006,5147
1989-02-27 05:46:30,mobile,13:51:15,2618,4690
1997-01-26 06:39:47,desktop,14:13:15,2389,3352
1991-06-27 01:51:51,web application,11:36:43,865,7878
1992-03-10 01:50:28,mobile,16:30:41,488,2182
1977-01-18 09:32:04,web application,20:43:39,190,7072
1981-11-02 20:22:04,web application,21:25:53,2108,2382
2014-11-07 09:56:59,desktop,08:40:24,532,1056
2014-10-03 06:11:53,desktop,10:36:59,2307,317
1972-12-30 09:56:48,web application,07:18:33,832,4263
2006-04-28 07:13:30,desktop,23:24:18,1598,1896
2003-09-04 13:42:07,web application,04:40:04,1928,7433
2019-07-30 05:41:40,desktop,21:19:06,3481,1886
1982-01-23 13:00:54,web application,21:42:08,2306,5823
2012-03-07 14:05:46,desktop,20:35:10,3200,8449
2020-04-18 09:45:29,desktop,11:07:46,2467,7366
2008-01-21 14:59:30,desktop,14:09:15,2388,6725
1975-03-27 06:39:19,desktop,07:17:25,2831,4072
2014-01-28 11:38:31,web application,03:08:30,1631,4697
1975-09-22 06:19:18,desktop,20:14:38,465,3476
2010-03-02 13:43:39,mobile,00:08:39,1442,6243
1991-11-11 17:29:27,mobile,23:09:45,1778,8143
2020-11-26 07:29:24,desktop,23:43:37,1433,279
1987-11-01 18:34:03,web application,18:57:50,2046,6811
1986-11-06 00:06:04,desktop,05:06:59,2347,4973
2022-12-14 06:13:00,web application,04:08:22,2267,7913
2016-09-22 04:37:19,mobile,22:45:40,250,3068
2011-11-22 02:04:22,desktop,20:50:37,2005,7145
2001-11-09 23:00:26,desktop,03:37:36,2711,4339
2013-10-31 13:53:41,desktop,23:40:09,2966,8626
2021-12-05 20:09:16,desktop,16:14:27,1866,1324
1987-08-15 08:10:21,desktop,10:14:31,1513,3556
2006-11-14 06:00:20,mobile,21:40:27,2160,8622
1982-05-26 05:38:56,web application,05:15:53,2514,8646
1977-04-06 22:46:37,web application,14:27:58,2550,3051
1980-10-19 10:17:08,mobile,01:54:37,1991,8830
2017-02-07 11:06:52,web application,19:38:16,3456,1431
2004-08-26 09:52:36,web application,02:12:59,61,4135
2004-09-19 16:20:34,desktop,17:15:00,1090,1003
1982-05-04 12:27:34,desktop,01:19:57,3160,6957
1974-03-12 21:41:26,mobile,05:28:49,2966,6267
2013-07-28 12:16:53,mobile,20:50:05,541,6989
1977-12-09 21:31:23,web application,23:10:46,2377,4421
1999-12-07 05:24:32,web application,01:49:19,1852,21
2022-11-12 08:18:33,web application,00:22:03,2040,3831
2014-06-19 11:46:20,desktop,10:27:03,916,5860
1974-10-17 03:18:07,mobile,14:47:00,34,244
1989-01-27 09:35:55,mobile,07:40:14,1095,2026
2012-09-07 05:29:09,web application,08:38:38,483,3381
1972-02-26 07:26:23,web application,05:11:42,1925,1788
1981-11-10 08:13:22,web application,18:50:02,2025,7792
2003-02-16 14:14:39,desktop,12:48:46,194,6299
2013-03-27 07:34:30,desktop,14:48:08,556,3098
1985-05-11 14:20:36,desktop,23:30:49,2803,383
2012-11-14 19:48:36,desktop,23:54:09,2610,6801
1998-12-17 17:15:16,mobile,06:54:24,2744,8444
1989-10-06 07:34:05,mobile,16:17:00,2379,1865
1978-08-14 00:26:32,desktop,00:50:15,2231,4073
1979-06-29 06:59:26,desktop,17:41:00,3180,1010
2012-06-27 08:34:42,web application,17:32:25,955,4633
2019-10-29 19:38:04,web application,20:07:56,1568,6270
2001-09-19 18:30:52,desktop,03:07:18,1579,150
2006-04-28 10:10:35,web application,03:20:44,1688,2630
2008-02-23 17:19:29,mobile,03:30:44,1085,4831
2017-12-05 09:44:50,web application,20:46:40,2814,1280
2019-07-21 10:06:15,mobile,17:00:40,1939,7454
2021-01-07 23:19:36,mobile,22:33:43,2819,7717
2012-12-07 23:09:13,desktop,09:15:55,3087,3509
1980-02-14 12:49:29,mobile,11:33:10,3054,5738
2000-12-29 06:52:46,desktop,03:25:22,2691,683
1991-03-19 04:15:06,web application,08:29:28,2130,7380
2021-09-20 15:24:15,desktop,17:21:31,1842,4056
1992-02-09 11:57:31,web application,03:05:18,3276,6198
1973-02-09 21:43:14,mobile,01:10:34,2227,8565
1986-10-29 06:51:04,web application,18:41:26,709,8294
2019-10-10 22:26:34,mobile,19:32:40,2010,994
2012-03-21 06:55:46,desktop,22:29:09,963,8303
2014-07-28 11:01:17,desktop,06:48:53,981,3062
2000-03-22 06:33:19,desktop,00:51:13,2634,5379
1998-10-28 14:18:43,web application,05:30:14,2719,2060
2010-08-09 00:17:14,mobile,08:28:20,276,3581
1970-03-21 06:12:20,mobile,11:17:58,2166,4805
1980-10-02 03:22:41,desktop,08:26:22,877,8592
1999-06-22 14:37:57,web application,06:28:16,1204,4363
1986-12-28 02:14:00,mobile,08:11:52,397,8705
1990-02-28 16:34:29,web application,04:35:29,108,5025
2023-06-13 20:57:38,web application,10:08:21,1322,6685
2009-05-29 06:01:13,mobile,22:20:25,458,6098
2006-07-28 14:24:28,mobile,13:26:23,2752,4178
1973-06-24 20:55:37,desktop,17:33:42,2764,7995
2018-12-13 01:01:52,mobile,10:05:21,2758,7760
2022-03-25 21:00:00,desktop,08:23:33,272,2701
2011-05-16 10:51:50,mobile,20:23:18,2901,8898
1981-08-10 15:36:36,desktop,20:26:03,89,5046
2018-10-31 13:03:02,web application,02:42:27,747,2558
1982-10-01 20:58:59,web application,13:08:55,1936,415
2012-12-02 00:43:44,web application,15:22:39,1848,6357
1985-06-01 07:58:06,mobile,22:22:42,2345,6960
2002-10-24 16:35:11,web application,22:39:41,1470,8284
1986-11-23 13:03:21,mobile,13:02:52,666,6638
2004-09-26 18:42:56,desktop,16:07:08,2944,2226
2019-02-26 02:37:01,mobile,08:19:35,754,6396
2005-01-07 12:46:45,desktop,16:01:51,1899,1933
1976-11-18 10:28:30,desktop,07:44:50,226,4402
2006-12-10 19:26:02,desktop,14:39:27,2002,7277
2018-11-01 17:58:54,web application,21:57:46,2160,3099
1981-04-10 03:05:41,desktop,00:02:37,2605,4535
2020-02-18 05:01:07,desktop,14:18:48,2673,8409
1999-02-25 16:55:46,desktop,23:44:08,1874,6086
2017-10-11 13:07:51,desktop,09:27:25,2557,6191
2019-01-12 16:51:02,web application,14:04:10,3004,622
1990-11-12 11:10:10,web application,13:04:04,1836,6019
1975-12-16 12:48:56,web application,20:49:37,1537,594
2001-05-01 10:03:44,web application,23:11:40,1801,5786
1993-03-04 11:39:39,web application,06:10:47,1091,2272
2006-08-05 00:57:32,desktop,09:41:34,191,3929
1986-03-03 11:41:30,mobile,10:22:16,1076,6937
2016-06-03 06:07:05,desktop,21:33:42,835,2987
1987-02-20 01:27:35,web application,12:21:12,3,1076
1998-12-07 00:05:14,desktop,15:50:48,2700,4496
2016-12-05 21:00:22,mobile,19:37:16,2792,4894
2021-11-27 02:44:07,web application,01:04:07,2484,5288
1974-12-19 23:57:42,web application,04:45:11,986,6507
2002-03-03 18:47:23,desktop,03:47:04,535,5948
2022-02-14 17:04:40,mobile,02:32:07,2767,6632
2005-01-21 05:26:30,web application,10:28:03,3147,5641
1974-06-13 12:23:31,desktop,13:17:48,982,2489
1982-04-24 03:06:50,mobile,05:09:45,797,2993
1995-01-01 07:51:02,web application,11:19:06,2136,2803
1985-08-19 04:53:14,desktop,18:05:43,220,1713
2000-04-29 23:19:59,mobile,18:56:12,3455,7808
1998-10-26 09:50:37,web application,10:41:12,1666,8597
1972-03-14 11:22:01,desktop,00:54:03,1389,6360
2010-10-07 02:56:18,mobile,08:52:03,2127,3862
1971-03-16 18:40:54,mobile,18:48:03,3281,8021
2009-04-25 15:10:22,mobile,22:47:42,324,6151
1983-05-26 02:59:40,web application,04:41:08,1425,7196
2006-02-09 16:14:23,web application,04:09:04,3176,3443
1989-02-24 11:22:08,desktop,03:28:22,317,6560
1984-06-18 11:42:33,web application,18:27:44,942,8644
1998-08-28 03:10:28,desktop,11:46:48,166,1817
1992-10-04 00:49:12,web application,10:39:21,2731,4879
2012-11-14 06:50:56,mobile,03:26:07,625,5779
1975-10-11 22:07:28,web application,07:36:57,963,3650
1991-05-10 07:04:30,mobile,19:51:10,577,996
1989-09-24 13:48:17,web application,14:27:00,2689,3194
1993-04-29 01:04:58,mobile,07:35:09,1585,8623
1986-07-02 15:53:41,web application,16:58:01,709,283
1999-04-13 14:54:53,web application,19:09:14,703,3752
1981-08-12 13:58:08,desktop,11:16:12,1854,2424
1977-09-13 12:32:46,desktop,00:23:49,3125,3072
2002-01-28 15:13:49,mobile,04:38:16,879,4305
1986-07-22 15:32:18,mobile,06:13:24,1990,943
2007-02-27 22:00:04,desktop,02:04:48,45,7018
1995-10-09 15:09:42,web application,10:33:50,1982,7869
2001-04-22 10:07:38,web application,10:22:41,2406,1595
2018-09-03 04:47:39,web application,22:37:50,2750,6710
2011-05-12 13:35:06,mobile,14:44:20,287,4047
2021-05-13 10:29:22,desktop,22:33:33,1744,8329
1978-06-02 04:54:53,web application,18:07:19,2124,1290
2009-02-16 04:20:12,web application,05:02:12,423,2183
2007-07-13 16:47:16,mobile,11:53:07,2771,6848
1982-01-07 03:36:10,mobile,16:55:36,734,6632
2016-01-05 15:27:36,desktop,23:22:35,2372,3662
1993-11-01 00:47:37,mobile,19:15:43,2254,5080
1978-10-20 17:34:56,mobile,09:03:49,1970,7453
1997-08-04 07:15:14,web application,11:53:15,3075,1117
1977-05-26 01:49:39,web application,11:18:22,668,3406
1986-05-03 05:23:06,mobile,12:30:33,3480,3312
1986-11-10 14:54:07,web application,13:44:39,3127,760
1982-12-19 22:16:48,desktop,07:00:41,167,1635
1987-03-27 02:10:13,mobile,00:55:11,1496,244
2020-08-08 23:52:03,mobile,09:33:00,412,6481
1992-06-29 13:10:01,desktop,03:05:11,521,3108
2009-05-30 21:12:56,desktop,08:09:09,412,4225
1989-06-11 17:12:14,desktop,13:00:44,3163,358
1990-10-08 03:16:42,web application,15:36:30,1163,5211
2005-10-31 00:13:42,mobile,20:17:41,1419,8555
2013-02-24 18:36:16,mobile,09:17:23,2368,1986
2020-07-28 10:01:16,web application,10:27:09,2706,2633
2003-08-22 10:47:27,web application,01:31:57,2936,7036
1998-08-23 19:08:18,mobile,08:57:40,2925,8590
1980-03-14 12:40:32,mobile,20:53:36,2772,2575
1977-11-23 07:56:25,web application,15:53:05,16,4083
2015-06-13 08:01:18,web application,06:42:38,1494,3854
1996-01-28 02:53:43,web application,13:05:07,26,431
1979-05-28 12:37:41,desktop,14:19:58,1103,1919
1989-05-27 17:59:11,mobile,04:39:36,521,8410
1988-04-24 21:07:40,desktop,05:04:19,2114,6591
1991-06-01 18:24:49,desktop,20:37:35,521,1679
1970-11-22 04:25:15,web application,20:34:40,2615,1215
1992-01-26 17:40:02,desktop,02:06:51,3265,6304
2011-06-15 07:03:20,desktop,06:45:13,1356,1100
1988-12-11 05:59:44,mobile,07:51:05,1321,5374
2021-03-09 19:40:54,desktop,08:09:21,2077,1983
1999-11-18 04:41:49,mobile,02:17:45,1024,3821
2012-07-09 16:50:22,desktop,20:17:17,2093,2268
2000-09-15 18:20:21,desktop,09:35:08,955,7154
2019-03-26 22:53:54,web application,21:32:25,2450,2646
2003-02-09 12:26:44,web application,19:50:00,3324,4686
1971-07-17 12:20:55,desktop,14:03:52,2168,6135
2017-09-01 05:26:14,web application,10:24:33,842,4530
1970-11-12 04:32:45,mobile,17:02:52,729,8682
1979-08-03 10:59:29,web application,07:47:45,516,7857
2013-02-22 07:10:56,web application,03:20:52,247,3058
1991-11-23 08:50:01,mobile,08:31:35,1825,7788
1986-09-18 22:48:32,web application,02:11:05,23,4760
1982-04-17 03:36:12,desktop,19:45:59,2943,3557
2018-05-04 08:08:22,mobile,13:50:48,1021,3619
1976-12-04 15:35:49,web application,07:49:49,1993,2478
1978-07-03 02:35:11,desktop,15:47:06,560,3313
1995-01-12 11:23:39,desktop,15:49:49,59,1902
1980-06-05 21:40:30,desktop,16:48:32,1221,8002
1976-07-13 16:18:00,desktop,07:18:32,2819,4512
2022-04-21 04:32:17,mobile,05:59:00,3191,3862
1980-03-27 10:47:34,mobile,09:11:45,782,6543
1990-03-21 05:39:43,web application,17:13:34,2587,4249
2002-09-23 14:17:14,web application,01:03:16,3315,8818
2000-10-10 01:26:25,mobile,20:50:21,3140,6997
2018-10-17 13:01:02,desktop,03:09:46,1779,4819
2003-11-10 11:56:26,mobile,06:23:47,447,2
2004-10-15 14:56:07,mobile,00:12:31,3153,5882
1977-04-11 20:22:51,web application,20:56:31,1581,5577
1990-06-30 20:52:33,web application,07:41:32,2917,4325
1977-02-25 14:04:20,desktop,16:26:57,1913,6506
1998-09-21 04:33:11,mobile,13:50:42,2571,6937
1971-08-12 10:11:14,mobile,05:39:29,495,88
2013-06-07 07:32:56,desktop,01:41:04,1398,3278
1992-08-18 21:45:50,web application,16:20:17,281,7824
1992-04-01 21:21:49,web application,09:10:15,2372,3657
2020-11-10 11:50:57,web application,07:33:15,965,1449
2005-08-04 23:54:39,web application,14:17:14,2278,1614
1998-11-14 10:31:41,web application,16:48:17,2967,6294
2007-05-01 17:00:54,mobile,08:24:55,715,4810
2001-02-08 13:44:12,web application,06:32:20,1442,6578
2007-08-01 05:26:16,web application,04:44:47,404,3442
1983-10-25 09:36:49,mobile,11:44:10,1175,8050
1997-12-20 10:25:15,mobile,09:21:31,432,1600
2007-09-10 00:12:23,desktop,01:30:10,429,513
1973-11-26 06:23:18,mobile,16:22:48,1338,3654
1970-11-04 06:55:53,web application,14:12:51,2499,5960
2003-11-26 11:38:09,web application,21:24:26,1305,4299
