ID,DATE,DEVICE,LISTENING_TIME,ID_C,ID_T
,2023-02-17 05:19:11,web application,20:20:36,937,2297
,2023-05-10 18:46:43,mobile,03:46:46,2502,8009
,2023-06-27 16:18:30,web application,13:41:57,717,1825
,2021-03-07 10:49:57,web application,02:50:02,850,2213
,2023-07-21 09:09:58,web application,06:20:44,837,4233
,2022-01-26 22:04:49,mobile,01:11:53,1892,1422
,2021-11-25 14:44:56,desktop,08:08:17,2606,4589
,2023-07-08 01:34:24,mobile,17:16:00,372,7687
,2021-05-14 13:04:09,mobile,11:36:52,3262,7795
,2023-09-27 17:48:02,desktop,20:51:58,1257,8343
,2021-02-21 15:40:58,desktop,13:34:40,2396,3864
,2022-01-19 07:24:14,desktop,14:09:49,2232,5897
,2022-04-04 02:56:52,desktop,13:23:50,3425,821
,2023-04-05 23:56:56,mobile,10:45:00,2835,7846
,2023-02-01 03:53:48,mobile,19:54:10,1793,2592
,2022-09-18 18:05:18,mobile,10:01:37,1808,8105
,2022-12-09 00:04:39,web application,15:04:05,327,7589
,2021-07-17 08:18:58,web application,19:49:03,2880,4099
,2023-01-03 23:18:25,mobile,21:35:10,3412,5039
,2021-11-25 19:05:31,web application,01:25:44,3057,4001
,2023-11-19 03:50:11,web application,20:55:16,438,5435
,2023-11-21 13:44:14,web application,11:25:34,2439,8180
,2021-11-07 06:20:06,web application,20:04:53,3422,4531
,2023-08-03 13:35:01,web application,10:38:25,3337,5275
,2022-01-15 20:24:53,web application,16:06:32,1717,3570
,2023-12-04 16:55:50,mobile,23:45:50,525,1950
,2022-05-13 14:02:23,web application,21:34:28,1141,7407
,2021-04-10 21:23:43,web application,00:13:54,3420,2990
,2023-10-20 02:41:33,desktop,10:03:15,1941,6530
,2021-06-21 20:30:32,web application,01:33:41,1472,5196
,2023-08-27 21:54:11,web application,23:58:14,605,3821
,2023-08-02 20:35:27,desktop,06:35:12,1077,2660
,2022-10-25 06:01:20,mobile,13:15:43,2089,1283
,2022-12-12 04:26:50,desktop,11:57:27,2638,6257
,2021-12-23 07:36:06,desktop,05:13:04,3029,8710
,2020-12-21 16:50:34,desktop,08:49:36,3024,6502
,2021-01-31 04:53:23,mobile,22:10:06,2063,2477
,2022-10-11 01:12:07,mobile,12:36:37,2532,2182
,2021-05-19 07:31:05,mobile,07:05:38,2673,2527
,2023-06-10 17:18:01,mobile,20:59:22,1865,563
,2023-11-28 23:08:48,web application,19:40:54,2048,7935
,2021-05-21 19:15:50,mobile,15:07:40,2645,1008
,2022-04-03 05:16:32,web application,11:15:11,462,7928
,2023-01-17 00:50:53,web application,12:44:24,2718,2969
,2023-04-24 19:45:39,mobile,11:50:30,143,7001
,2023-01-11 05:49:32,web application,11:36:19,923,8182
,2023-03-17 01:48:34,desktop,04:25:10,903,1530
,2022-08-25 06:22:08,web application,18:53:59,3086,6412
,2022-01-10 01:00:35,mobile,14:14:15,2393,3188
,2022-06-14 10:12:28,desktop,09:26:59,3449,8895
,2022-11-17 11:53:51,desktop,08:03:49,2749,6325
,2021-01-09 20:23:20,mobile,05:04:11,2692,5709
,2022-08-17 20:24:47,desktop,07:41:57,1827,1069
,2022-07-30 13:33:37,desktop,08:53:23,1958,4171
,2022-05-06 01:05:08,mobile,03:42:19,2905,4653
,2023-05-25 02:28:08,desktop,05:55:57,2504,5976
,2021-04-09 02:03:37,mobile,04:27:17,1117,2778
,2021-03-20 04:52:27,mobile,10:46:15,2363,6673
,2022-12-05 18:58:25,web application,18:10:05,2027,8370
,2022-11-06 01:05:34,web application,21:32:32,2431,3165
,2022-09-15 06:06:11,mobile,07:59:44,1962,5319
,2021-06-13 13:16:42,mobile,07:37:49,230,6979
,2021-07-06 19:26:10,desktop,05:49:27,2043,2951
,2021-01-10 11:42:28,mobile,23:01:20,3352,3493
,2021-03-31 14:28:23,web application,07:50:34,1372,4208
,2022-05-15 06:24:50,web application,02:40:39,2106,4702
,2023-11-18 11:24:34,web application,09:08:58,146,3399
,2021-09-20 23:23:23,desktop,12:58:39,345,7213
,2021-02-20 07:01:26,web application,01:58:44,688,8916
,2021-05-06 13:11:35,mobile,08:47:28,3057,4046
,2023-01-01 07:54:15,web application,00:34:21,2272,5153
,2022-07-07 04:08:09,web application,23:46:06,575,2937
,2021-11-05 01:58:26,desktop,20:58:13,1045,2699
,2022-08-10 07:21:42,web application,08:39:00,1582,5772
,2022-01-14 12:04:27,desktop,00:13:10,1348,468
,2021-10-08 20:44:55,desktop,14:57:29,407,3349
,2023-10-10 14:05:06,web application,14:27:10,2576,1663
,2022-05-06 20:30:52,web application,07:01:10,2887,7470
,2022-12-17 07:55:54,mobile,18:25:16,856,8467
,2021-08-11 13:10:05,mobile,03:54:37,1088,7713
,2023-10-18 21:23:56,desktop,19:35:29,328,5240
,2021-12-13 05:54:04,desktop,15:44:29,172,1438
,2021-11-23 15:04:59,mobile,23:45:07,1070,4976
,2022-03-05 05:49:13,desktop,17:41:16,238,5553
,2021-12-21 21:13:49,desktop,13:51:04,637,1507
,2022-05-15 12:05:54,web application,05:29:49,366,7986
,2023-08-14 19:28:39,web application,23:19:13,3149,4654
,2023-01-19 20:36:22,desktop,01:03:41,1294,796
,2021-09-15 07:23:59,mobile,10:55:10,1605,4459
,2022-12-01 12:56:47,mobile,13:25:17,2801,4960
,2022-05-27 11:57:30,web application,03:27:54,1786,8505
,2022-07-25 01:22:40,web application,06:44:20,2905,2715
,2022-12-17 12:01:29,desktop,06:07:52,83,231
,2023-05-03 03:50:28,mobile,18:17:13,2468,6439
,2021-05-02 23:35:33,desktop,19:07:19,1494,3090
,2023-04-13 13:14:27,web application,15:53:35,3253,4946
,2021-12-01 14:11:51,mobile,18:39:00,1389,8993
,2021-06-20 20:17:39,web application,16:46:36,1687,8042
,2023-01-08 14:57:08,web application,16:59:07,1063,3454
,2023-03-24 19:12:25,mobile,01:25:36,2627,6764
,2023-07-16 00:56:25,mobile,10:04:03,3015,8539
,2022-12-18 15:19:42,mobile,09:42:03,393,6497
,2023-09-18 20:16:14,desktop,14:11:03,1930,5772
,2023-06-30 13:47:35,desktop,02:49:43,2815,123
,2022-05-05 14:41:50,mobile,19:45:44,3024,2172
,2022-02-14 15:52:54,desktop,14:32:04,1076,5910
,2022-08-27 01:48:30,web application,08:49:54,76,332
,2022-05-11 10:13:21,web application,22:51:44,962,8207
,2021-05-17 15:53:05,web application,14:56:10,1621,8864
,2023-01-07 02:43:31,mobile,20:47:04,3106,499
,2022-06-22 20:51:09,mobile,14:48:43,3045,8751
,2022-01-13 17:15:43,mobile,01:09:09,837,8996
,2022-11-21 08:40:48,desktop,21:58:08,2620,7336
,2022-12-23 13:23:09,web application,22:05:34,764,2933
,2023-04-09 08:22:08,web application,15:12:55,2634,5564
,2021-08-15 03:29:46,web application,12:28:02,1881,1349
,2023-01-26 14:59:44,mobile,19:42:51,402,456
,2022-12-02 18:37:29,web application,11:56:00,772,2633
,2021-10-13 07:53:11,mobile,03:35:26,3080,2210
,2022-01-16 09:34:45,desktop,10:55:27,2019,6009
,2023-08-28 13:11:47,mobile,15:30:29,633,8879
,2022-05-31 20:22:51,web application,22:36:12,2234,893
,2021-11-12 18:25:29,desktop,01:55:09,1702,3326
,2022-10-15 21:56:27,mobile,14:31:41,1546,8151
,2022-02-09 18:43:18,mobile,07:22:58,2733,7783
,2021-03-20 17:59:52,mobile,12:18:05,253,1064
,2023-07-11 12:45:07,web application,22:03:13,825,2103
,2022-01-05 19:58:27,mobile,20:43:18,1008,5975
,2023-11-18 05:08:04,web application,16:52:27,2035,2726
,2023-05-05 23:15:45,web application,19:08:43,2243,5459
,2023-10-20 03:00:18,desktop,13:16:11,3472,3397
,2023-07-30 14:15:00,desktop,00:32:49,689,6805
,2021-09-26 21:46:09,web application,23:51:34,2959,8347
,2023-03-02 23:53:49,web application,09:03:50,3495,3917
,2021-01-28 15:18:58,web application,15:49:43,3381,1766
,2021-06-27 11:29:56,web application,23:36:56,2477,7363
,2023-02-13 11:59:22,mobile,12:59:06,2623,5024
,2023-04-20 11:40:38,web application,03:13:22,2868,1688
,2021-08-29 17:47:10,web application,23:13:47,2832,1627
,2022-02-27 17:16:12,mobile,03:56:46,610,4033
,2022-06-23 07:36:12,desktop,21:19:02,182,8998
,2023-12-18 12:35:06,mobile,05:24:26,3428,974
,2022-12-22 08:37:36,mobile,01:06:10,3396,1870
,2022-02-02 18:12:48,desktop,09:45:46,503,5128
,2022-07-02 20:26:40,mobile,07:14:05,2846,5798
,2023-05-01 11:04:50,mobile,11:20:01,2965,7315
,2022-06-22 08:42:59,web application,01:55:20,2332,7705
,2021-09-14 05:53:40,web application,20:29:30,3149,8336
,2023-05-13 20:13:56,desktop,05:36:18,1601,8037
,2023-05-22 02:03:49,desktop,00:05:39,2185,8863
,2021-03-15 15:43:24,desktop,20:09:19,2138,4397
,2023-01-10 03:56:56,mobile,11:56:27,821,8280
,2021-03-15 14:28:31,web application,04:56:28,2455,4331
,2023-08-01 02:41:50,mobile,11:10:40,2190,3595
,2021-05-09 19:18:47,web application,04:52:22,429,2103
,2023-11-05 03:25:08,web application,22:02:59,904,3968
,2023-07-19 22:33:50,web application,04:57:46,57,2295
,2023-07-28 12:10:46,web application,00:01:09,2731,3145
,2023-11-23 23:17:09,web application,22:37:53,414,5923
,2021-01-13 05:04:41,desktop,17:32:34,1080,1985
,2021-07-14 06:12:31,mobile,02:22:51,3092,4458
,2022-06-15 23:21:09,desktop,11:05:28,1372,863
,2022-08-14 22:29:36,web application,18:58:28,446,787
,2021-06-17 17:06:22,desktop,19:00:25,2392,8346
,2021-06-30 01:43:55,desktop,13:41:00,2143,2339
,2021-08-05 01:35:50,mobile,22:58:36,1611,7779
,2023-06-28 19:39:04,mobile,09:44:31,1378,4517
,2021-09-25 23:16:31,mobile,16:38:26,2921,7875
,2021-09-13 22:12:11,web application,01:00:59,557,6625
,2021-05-05 20:59:51,web application,21:04:41,2073,7230
,2023-08-30 04:47:44,desktop,01:41:08,3062,2920
,2023-03-22 23:00:41,desktop,17:50:48,2026,3246
,2022-10-30 19:49:57,web application,05:43:24,425,1738
,2022-11-05 13:03:33,web application,03:47:05,3485,4489
,2022-08-03 21:59:43,mobile,07:03:14,2053,5476
,2023-08-01 12:40:41,web application,17:57:15,1542,4493
,2023-02-14 11:42:51,desktop,18:34:34,2033,979
,2021-10-04 05:39:23,mobile,16:48:11,3302,7867
,2021-03-25 03:53:47,web application,23:34:43,1521,8344
,2022-05-05 10:02:48,web application,23:10:05,2617,1604
,2023-02-03 17:25:40,web application,11:30:43,1523,6769
,2022-12-03 21:49:43,desktop,11:19:47,1918,5185
,2022-07-12 12:52:39,mobile,15:45:33,2145,7747
,2021-10-13 23:58:40,web application,21:32:25,874,3211
,2023-10-14 19:51:26,desktop,15:46:28,1675,6011
,2023-12-13 06:20:15,web application,23:19:44,3319,3097
,2022-06-11 11:17:06,web application,02:31:21,3192,7554
,2021-02-27 16:41:11,web application,12:35:18,1281,952
,2021-02-23 17:26:09,web application,17:28:07,655,4326
,2022-01-07 02:59:41,web application,22:17:14,2033,461
,2023-12-13 09:31:22,web application,16:30:12,2839,8339
,2022-07-01 07:02:24,desktop,04:50:25,2526,4446
,2021-07-26 02:23:19,web application,20:35:11,23,2439
,2023-01-28 13:55:20,mobile,03:49:35,1238,4823
,2021-02-20 12:25:22,web application,23:44:34,2682,2316
,2023-01-20 04:40:33,mobile,21:26:30,1406,4243
,2023-09-13 07:08:28,web application,21:13:22,3328,8715
,2021-06-08 14:40:19,web application,16:39:37,1559,3878
,2023-02-12 07:41:10,desktop,22:44:39,644,5208
,2022-03-13 22:24:56,web application,03:46:32,2977,969
,2021-02-17 13:17:51,desktop,10:52:11,1577,2935
,2023-11-15 15:05:34,desktop,09:17:38,25,3293
,2021-12-16 09:26:02,mobile,19:49:43,1838,3157
,2021-06-13 20:11:38,desktop,05:30:10,2878,4063
,2023-04-29 08:13:32,web application,00:33:28,129,5772
,2021-09-29 22:03:40,mobile,17:30:19,1741,5068
,2023-09-22 07:31:08,web application,05:53:53,1386,1540
,2023-12-06 03:56:50,web application,05:49:22,568,5393
,2023-05-29 21:08:48,mobile,03:28:56,1445,4312
,2022-05-14 01:07:06,web application,09:55:33,2154,473
,2022-01-25 15:50:49,mobile,06:18:28,1873,1116
,2023-02-07 18:46:33,mobile,15:31:58,1027,5746
,2023-05-01 07:17:23,mobile,13:38:56,1044,721
,2022-05-05 23:37:01,mobile,12:41:36,1628,6518
,2022-03-22 21:52:46,mobile,17:04:59,3166,597
,2023-01-10 06:22:05,web application,02:27:46,3378,1294
,2022-10-28 11:14:05,mobile,00:01:09,515,4056
,2023-10-06 10:53:12,desktop,23:06:37,1557,1046
,2022-04-29 18:42:23,mobile,03:17:16,3394,5191
,2022-11-11 16:46:45,mobile,14:11:07,2519,3804
,2023-01-09 08:40:24,desktop,23:42:18,2861,5269
,2021-09-18 14:55:43,web application,17:32:56,467,345
,2023-06-01 04:16:45,desktop,15:23:12,1720,7895
,2022-06-05 11:15:53,mobile,09:58:30,1034,2653
,2023-02-22 10:28:51,desktop,09:56:42,1274,325
,2022-11-22 21:18:14,desktop,18:00:54,1559,923
,2021-08-03 15:19:50,mobile,09:49:59,2765,307
,2023-04-02 19:57:54,mobile,09:32:03,3349,6303
,2021-11-10 23:56:44,mobile,11:17:14,1138,365
,2021-06-30 22:12:04,mobile,17:22:14,1,8112
,2023-11-13 15:35:56,mobile,18:54:47,329,6158
,2022-02-20 22:21:54,mobile,14:11:51,970,5415
,2023-03-05 13:11:44,web application,12:11:42,3036,4914
,2022-07-19 02:15:39,mobile,00:34:14,498,7991
,2022-07-22 05:21:08,mobile,18:45:26,3464,5814
,2023-11-18 07:50:17,mobile,17:26:47,1325,1153
,2021-12-24 13:12:37,mobile,15:42:06,688,3728
,2022-07-18 05:40:28,mobile,12:03:22,3224,2632
,2022-09-17 00:07:47,desktop,06:52:52,3299,7154
,2023-03-29 18:20:21,web application,17:31:46,1883,7068
,2022-03-09 22:05:31,desktop,15:17:30,1135,102
,2023-11-27 23:15:39,desktop,16:27:26,1105,6375
,2022-11-05 19:06:19,desktop,16:55:27,2665,7685
,2022-05-19 08:58:05,mobile,17:11:36,1592,4416
,2021-02-24 10:26:21,web application,22:00:14,2575,7794
,2022-11-28 11:18:35,web application,03:05:00,1402,3629
,2021-10-30 12:50:29,mobile,08:06:52,253,8318
,2022-05-02 23:25:58,desktop,06:14:38,2204,3730
,2023-07-02 11:14:56,desktop,11:29:30,758,2608
,2022-01-10 17:10:28,web application,02:57:09,1654,8267
,2021-07-12 09:07:04,web application,15:48:53,557,2167
,2022-10-25 06:41:38,desktop,17:54:43,3427,3521
,2023-02-04 08:24:32,desktop,21:32:27,2632,6922
,2023-06-26 00:40:41,mobile,03:32:36,3353,4620
,2022-02-15 05:56:32,desktop,16:01:49,996,4462
,2023-01-09 10:51:11,web application,21:01:04,1659,4824
,2022-10-19 21:57:57,web application,11:51:17,142,1043
,2021-11-26 20:57:01,mobile,05:56:29,2664,7831
,2022-11-26 16:57:29,mobile,01:47:40,952,6903
,2023-07-07 13:33:20,mobile,19:47:19,1904,675
,2021-09-07 03:48:10,mobile,04:51:23,406,4097
,2022-02-07 07:22:24,web application,05:41:48,167,5120
,2021-08-31 20:00:41,mobile,19:34:42,2818,4207
,2023-09-21 19:45:12,web application,20:16:30,2044,7718
,2021-06-15 06:53:47,web application,01:22:25,246,3213
,2021-09-17 11:39:50,mobile,15:47:05,1779,23
,2022-01-17 15:30:54,mobile,08:12:30,753,7640
,2021-04-07 09:43:37,desktop,17:52:37,968,2623
,2023-10-24 05:31:14,web application,06:44:20,1764,6542
,2021-10-31 16:17:41,web application,22:58:39,122,8789
,2022-08-09 00:59:05,web application,22:56:14,1056,2987
,2022-02-16 17:19:26,desktop,23:48:09,2561,4464
,2022-02-18 17:49:20,web application,05:10:54,1889,7174
,2022-04-13 20:44:34,desktop,13:22:23,1075,2535
,2022-06-06 17:12:26,web application,00:08:48,3461,7204
,2022-04-30 04:49:21,mobile,12:34:36,142,8291
,2022-05-07 03:07:03,web application,22:23:44,2999,5689
,2022-01-21 18:10:06,mobile,04:24:27,870,8132
,2022-02-09 13:54:31,desktop,11:17:54,3101,8047
,2022-08-30 05:53:40,mobile,04:26:33,3303,2903
,2022-03-28 23:50:50,mobile,17:33:53,994,2467
,2023-08-23 07:20:48,web application,06:20:59,2801,6052
,2021-02-10 17:22:34,web application,08:51:07,3129,2097
,2022-09-15 18:15:21,web application,18:43:41,1458,6602
,2023-10-06 14:03:28,mobile,02:37:14,1502,7709
,2022-05-08 06:28:28,web application,21:20:33,2982,8887
,2023-02-14 02:06:09,desktop,04:23:01,2683,6817
,2021-07-17 22:08:44,web application,07:39:34,1490,3646
,2023-06-27 07:04:49,desktop,09:28:28,1709,5304
,2022-04-18 11:33:43,web application,03:51:45,287,5373
,2023-12-14 12:55:11,mobile,02:39:34,3234,8119
,2023-10-21 10:53:09,mobile,04:46:55,3005,6599
,2023-07-08 07:08:31,desktop,02:14:05,1945,6004
,2022-07-05 16:09:20,desktop,21:44:01,338,7648
,2021-06-23 07:43:48,mobile,09:43:44,200,3464
,2022-03-25 10:07:39,web application,20:20:42,2785,5487
,2022-03-17 03:48:57,mobile,11:23:02,2639,1345
,2021-07-08 04:42:43,desktop,15:34:52,963,8797
,2023-07-20 05:42:36,mobile,01:10:50,3126,8394
,2022-08-07 17:43:30,web application,09:08:44,1552,3147
,2023-04-01 00:35:34,mobile,02:11:00,1976,7600
,2022-07-19 04:31:16,mobile,14:39:28,1710,7991
,2022-12-08 17:06:41,web application,08:19:21,2740,5368
,2023-11-15 08:42:44,mobile,13:33:21,3140,5945
,2022-06-10 16:34:51,mobile,16:11:07,607,7923
,2022-07-18 18:53:59,mobile,22:35:37,2621,1547
,2022-11-05 11:00:32,desktop,03:55:44,3356,3839
,2021-11-21 15:19:09,desktop,00:14:14,2099,8445
,2022-06-13 19:55:10,web application,08:22:27,1506,6243
,2021-09-23 10:04:22,web application,06:27:54,1063,7408
,2021-03-20 08:20:48,web application,18:02:22,856,1832
,2022-09-12 21:26:57,mobile,05:31:25,1048,4855
,2023-11-12 14:49:02,web application,19:55:13,53,1385
,2021-09-19 14:57:14,web application,23:16:29,3479,1092
,2022-04-22 19:46:31,web application,11:03:18,1972,3106
,2022-07-19 02:59:55,desktop,22:19:49,3486,2667
,2022-01-17 05:50:45,mobile,08:36:09,519,837
,2023-09-05 10:40:45,desktop,04:50:30,1152,8159
,2023-04-12 19:42:24,desktop,06:35:37,3152,3843
,2021-10-03 00:35:52,desktop,23:22:46,65,1974
,2022-03-22 09:24:00,web application,11:08:09,2565,3014
,2022-01-19 13:12:07,mobile,15:54:15,1897,7183
,2022-08-08 02:49:45,desktop,12:46:42,1482,5181
,2023-11-03 19:54:01,desktop,05:35:48,146,1305
,2022-06-12 09:24:18,desktop,16:16:24,1430,3743
,2023-08-18 20:44:21,web application,05:36:01,868,3134
,2023-12-11 09:47:02,web application,16:37:16,3481,6756
,2022-03-27 05:08:58,mobile,21:36:45,1831,1504
,2023-10-16 08:33:26,mobile,06:27:53,676,2745
,2022-08-14 18:27:01,web application,08:29:39,2656,405
,2022-08-12 03:27:53,web application,20:09:36,262,5356
,2021-03-15 20:25:06,web application,13:45:48,1430,8389
,2021-08-27 14:39:17,web application,05:08:18,1864,2747
,2023-03-18 19:01:32,mobile,21:51:50,3022,2654
,2022-12-21 12:44:42,web application,11:32:40,3122,306
,2022-05-11 01:57:20,mobile,17:36:42,1161,5723
,2022-06-21 11:28:18,desktop,08:15:24,1669,5145
,2020-12-28 22:38:09,mobile,16:46:49,2208,1311
,2021-09-19 21:14:26,mobile,02:28:59,3207,5345
,2023-06-05 07:25:33,mobile,03:54:32,2988,5276
,2023-02-07 06:58:54,mobile,01:32:05,477,7981
,2021-11-29 22:43:49,web application,12:34:24,1608,6937
,2022-08-13 15:30:03,mobile,18:23:13,135,3386
,2022-02-14 07:28:03,web application,09:54:32,2000,4056
,2022-10-25 02:39:25,mobile,19:45:33,3007,4695
,2023-08-16 03:11:14,desktop,11:44:59,1731,5448
,2023-11-22 06:37:09,web application,12:03:33,2287,7075
,2022-07-21 04:06:45,mobile,15:50:09,2879,5093
,2023-12-10 08:05:34,mobile,14:06:36,1169,2775
,2021-02-15 20:32:43,mobile,04:24:22,1835,1142
,2021-10-08 03:04:18,web application,03:52:23,2635,3897
,2021-10-15 03:47:51,web application,05:50:48,2459,3403
,2023-11-29 08:34:21,web application,07:21:17,3346,2030
,2023-07-16 05:50:59,desktop,22:58:21,1229,818
,2022-05-16 18:58:23,web application,05:34:28,145,5579
,2022-10-15 10:51:33,web application,02:33:05,1157,854
,2022-06-01 09:58:30,web application,10:01:34,2589,6264
,2021-06-17 02:04:37,mobile,05:31:19,2988,5055
,2022-03-18 23:22:02,web application,17:20:22,2908,8564
,2022-05-13 05:26:26,desktop,16:27:16,3022,8797
,2023-08-21 07:09:16,mobile,02:16:04,189,6440
,2023-11-26 04:26:59,desktop,06:01:13,3344,5599
,2022-02-16 09:38:54,mobile,15:51:22,2502,411
,2022-10-24 05:57:16,web application,03:39:25,206,6582
,2021-08-20 03:35:12,mobile,16:38:41,2634,21
,2022-07-12 23:37:45,web application,14:39:22,2895,2851
,2022-02-10 16:13:45,mobile,23:29:04,3090,2791
,2022-06-14 16:52:48,web application,07:23:03,2914,4574
,2023-02-04 14:36:05,mobile,09:50:22,3363,8028
,2023-11-03 18:06:28,mobile,00:01:32,1024,1256
,2021-05-08 00:16:21,mobile,14:27:54,428,3055
,2021-11-26 01:50:12,mobile,18:03:17,1047,1227
,2021-03-06 17:13:03,desktop,08:29:27,703,1045
,2022-11-03 19:56:31,mobile,03:35:38,1073,2560
,2021-06-22 15:21:45,web application,15:18:52,716,4518
,2022-09-30 01:42:14,mobile,05:56:46,3486,3051
